"automated","collectionProtocol","comments","createdBy","groupNames","inputCount","instrumentName","jobId","jobStatus","name","plateId","primaryProtocol","protocolName","referenceSequenceName","sampleName","sequencingCondition","version","whenStarted"
"true","MagBead OneCellPerWell v1","","MSmith","all","1","42177R","16711","Completed","TD01454_ABC13_pool_IGL_5_SR","TD_01454_Fosmid_pools_TD_01442_ER_TD_01294_P6_120619_MOCPW","BasecallerV1","RS_Subreads.1","","TD_01454_ABC13_pool_igl_5_020420_MO_85pM","","2.3.0","Tue Feb 25 10:56:16 EST 2020"
"true","MagBead OneCellPerWell v1","","MSmith","all","1","42177R","16710","Completed","TD01454_ABC14_pool_IGK_4b_SR","TD_01454_Fosmid_pools_TD_01442_ER_TD_01294_P6_120619_MOCPW","BasecallerV1","RS_Subreads.1","","TD_01454_ABC14_pool_igk_4b_020420_MO_85pM","","2.3.0","Tue Feb 25 10:55:49 EST 2020"
"true","MagBead OneCellPerWell v1","","MSmith","all","1","42163R","16709","Completed","TD01454_ABC14_pool_IGL_4_SR","TD_01454_Fosmid_pools_P6_020720_MOCPW","BasecallerV1","RS_Subreads.1","","TD_01454_ABC14_pool_igl_4_020720_MO_90pM","","2.3.0","Tue Feb 25 10:55:20 EST 2020"
"true","MagBead OneCellPerWell v1","","MSmith","all","1","42163R","16708","Completed","TD01454_ABC14_pool_IGL_5_SR","TD_01454_Fosmid_pools_P6_020720_MOCPW","BasecallerV1","RS_Subreads.1","","TD_01454_ABC14_pool_igl_5_020720_MO_90pM","","2.3.0","Tue Feb 25 10:54:54 EST 2020"
"true","MagBead OneCellPerWell v1","","oussenko","all","1","42177R","16707","Completed","RC_09127_2A_HGAP3","TD_01442_RC_isolates_P6_021920_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","TD01442_RC_09127_2A_5K_P6_021920_MOCPW_100pM","","2.3.0","Fri Feb 21 13:19:13 EST 2020"
"true","MagBead OneCellPerWell v1","","oussenko","all","1","42177R","16706","Completed","RC_09735_2A_HGAP3","TD_01442_RC_isolates_P6_021920_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","TD01442_RC_09735_2A_5K_P6_021920_MOCPW_90pM","","2.3.0","Fri Feb 21 13:18:10 EST 2020"
"true","MagBead OneCellPerWell v1","","oussenko","all","1","42177R","16705","Completed","RC_08281_2A_HGAP3","TD_01442_RC_isolates_P6_021920_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","TD01442_RC_08281_2A_5K_P6_021920_MOCPW_80pM","","2.3.0","Thu Feb 20 20:01:09 EST 2020"
"true","MagBead OneCellPerWell v1","","oussenko","all","1","42177R","16704","Completed","RC_07974_2A_HGAP3","TD_01442_RC_isolates_P6_021920_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","TD01442_RC_07974_2A_5K_P6_021920_MOCPW_100pM","","2.3.0","Thu Feb 20 17:13:01 EST 2020"
"true","MagBead OneCellPerWell v1","","oussenko","all","1","42177R","16703","Completed","RC_04132_2A_HGAP3","TD_01442_RC_isolates_P6_021920_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","TD01442_RC_04132_2A_5K_P6_021920_MOCPW_80pM","","2.3.0","Thu Feb 20 14:22:50 EST 2020"
"true","MagBead OneCellPerWell v1","","oussenko","all","1","42177R","16702","Completed","RC_04690_2A_HGAP3","TD_01442_RC_isolates_P6_021920_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","TD01442_RC_04690_2A_5K_P6_021920_MOCPW_100pM","","2.3.0","Thu Feb 20 14:22:13 EST 2020"
"true","MagBead OneCellPerWell v1","","oussenko","all","1","42163R","16701","Completed","CD_02033_4A_HGAP3","TD_01442_CD_isolate_TD_01475_FOS_pool_P6_021420_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","TD01442_CD_02033_4A_5K_P6_021420_MOCPW_100pM","","2.3.0","Tue Feb 18 13:06:22 EST 2020"
"true","MagBead OneCellPerWell v1","","oussenko","all","1","42163R","16700","Completed","CD_02001_3A_HGAP3","TD_01442_CD_isolate_TD_01475_FOS_pool_P6_021420_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","TD01442_CD_02001_3A_5K_P6_021420_MOCPW_80pM","","2.3.0","Tue Feb 18 13:05:43 EST 2020"
"true","MagBead OneCellPerWell v1","","oussenko","all","1","42163R","16699","Completed","CD_02135_2B_HGAP3","TD_01442_CD_isolate_TD_01475_FOS_pool_P6_021420_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","TD01442_CD_02135_2B_5K_P6_021420_MOCPW_80pM","","2.3.0","Tue Feb 18 13:05:17 EST 2020"
"true","MagBead OneCellPerWell v1","","oussenko","all","1","42163R","16698","Completed","CD_02064_2B_HGAP3","TD_01442_CD_isolate_TD_01475_FOS_pool_P6_021420_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","TD01442_CD_02064_2B_5K_P6_021420_MOCPW_80pM","","2.3.0","Tue Feb 18 13:04:38 EST 2020"
"true","MagBead OneCellPerWell v1","","oussenko","all","1","42163R","16697","Completed","CD_02002_3A_HGAP3","TD_01442_CD_isolate_TD_01475_FOS_pool_P6_021420_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","TD01442_CD_02002_3A_5K_P6_021420_MOCPW_80pM","","2.3.0","Tue Feb 18 13:04:03 EST 2020"
"true","MagBead OneCellPerWell v1","","MSmith","all","1","42163R","16696","Completed","TD00746_Myc_inermis_SR","TD_00400_W_TE_WAM_TD_00599_ER_CD_isolates_TD_00746_inermis_P6_042519_MOCPW","BasecallerV1","RS_Subreads.1","","TD00746_Myc_inermis_Pip_P6_042519_MOCPW_125pM","","2.3.0","Mon Feb 17 10:09:03 EST 2020"
